text,created_at,screen_name,.pred_positive,.pred_neutral,.pred_negative,sentiment
yg mau goride make voucher GOJEKINPURWOKERTO yh jends mayannn,2022-11-09T07:42:46Z,Unsoedfess1963,0.2239294195477257,0.25467686940669587,0.5213937110455784,negative
"Udah ga pernah pake Gojek lagi.
Gofood selalu paling mahal ga ada promo.
Gosend ga ada yg mau ambil kata abang gojeknya tarif kemurahan.
Gocar/Goride? Prefer Maxim atau Grab. https://t.co/2Rgcn8HT4Q",2022-11-09T14:39:30Z,ma69num,0.22923615889914528,0.2536235544150296,0.5171402866858251,negative
"Harii hariku bersama gojeg
Beri aku voucer goride yang banyak dong admin @gojekindonesia 🥺 https://t.co/5g65NNMnKU",2022-11-09T15:43:06Z,binaverse_,0.2334304517324052,0.4988926819838726,0.26767686628372217,neutral
ada yg punya voucher goride area jog ja ga? boleh minta 1 ga? terima kasih 🙏,2022-11-09T10:04:49Z,jogjamnfs,0.2311593291722682,0.4650692859579581,0.3037713848697736,neutral
"@gojekindonesia halo min, ini akun gojek saya error atau gimana ya? daritadi loading terus gak bisa ngecek alamat terlebih untuk pesan goride dll",2022-11-10T06:26:10Z,hullagurlz,0.22767075417663604,0.5161676049413928,0.2561616408819712,neutral
ada yang gojeknya ramah promo ga terutama untuk goride -dips! 😔,2022-11-09T06:58:36Z,undipmenfess,0.21515980210755092,0.567881437724571,0.21695876016787816,neutral
-dips! Gopay coins kan bisa buat goride yaa itu bisa buat gofood juga ga yaa?,2022-11-03T16:42:48Z,undipmenfess,0.296753444154847,0.2849327092687345,0.41831384657641846,negative
"-dips! yg butuh voucher goride bolehh nih, free yaa daripada ngga kepake https://t.co/NoGYoIfLSe",2022-11-09T21:49:46Z,undipmenfess,0.29857340187962317,0.3543051822647386,0.3471214158556381,neutral
"Maaf guys buat yg nanya voc goride sm gocar, aku lagi hectic ga sempet bisa bales dan ngelayani pembeli🙏🏻",2022-11-09T21:45:50Z,spaicyspice,0.2538663001800941,0.3854758332935658,0.3606578665263401,neutral
Kok goride ama gosend mahal sih 😢,2022-11-09T09:41:06Z,aur0rain,0.24326490637113396,0.2196565354770272,0.5370785581518388,negative
@poscsif kak mau goride,2022-11-09T18:31:31Z,emanggitusayang,0.2239294195477257,0.25467686940669587,0.5213937110455784,negative
@hitiwii_ @discountfess Vouchernya yg goride sma gocar itu kak? -s,2022-11-09T13:18:57Z,princesshau,0.22836376169610095,0.301100173818213,0.4705360644856859,negative
"ready:
● 10 vcr goride
● 1 vcr gocar
● 1 vcr gofood",2022-11-09T22:17:53Z,yupingin,0.29857340187962317,0.3543051822647386,0.3471214158556381,neutral
"pacarku ngajak keluar jam segini buat check in, disuruh naik goride sendiri. terus aku bilang gamau, malah di putusin wkwk. 18!",2022-11-10T01:56:53Z,18fesss,0.25751804626983726,0.315767916831742,0.4267140368984208,negative
"@18fesss Wkwkwkwk, pacar lu minta ditonjok, bisa²nya dini hari nyuruh cwe goride hadeuh, maw maksiat tpi kagak maw reppt",2022-11-10T06:29:47Z,santitatuteto,0.22767393626768234,0.5012472114071207,0.27107885232519696,neutral
