text,created_at,screen_name,.pred_positive,.pred_neutral,.pred_negative,sentiment
yg mau goride make voucher GOJEKINPURWOKERTO yh jends mayannn,2022-11-09T07:42:46Z,Unsoedfess1963,0.2239638785309728,0.2584786700540032,0.517557451415024,negative
"Harii hariku bersama gojeg
Beri aku voucer goride yang banyak dong admin @gojekindonesia 🥺 https://t.co/5g65NNMnKU",2022-11-09T15:43:06Z,binaverse_,0.23739020792745827,0.4921734088987106,0.27043638317383123,neutral
ada yg punya voucher goride area jog ja ga? boleh minta 1 ga? terima kasih 🙏,2022-11-09T10:04:49Z,jogjamnfs,0.23100448896099746,0.4680138531128365,0.30098165792616605,neutral
"@gojekindonesia halo min, ini akun gojek saya error atau gimana ya? daritadi loading terus gak bisa ngecek alamat terlebih untuk pesan goride dll",2022-11-10T06:26:10Z,hullagurlz,0.23409853488535623,0.48669994356228946,0.2792015215523542,neutral
-dips! Gopay coins kan bisa buat goride yaa itu bisa buat gofood juga ga yaa?,2022-11-03T16:42:48Z,undipmenfess,0.3356416907680347,0.26079037975387237,0.403567929478093,negative
ada yang gojeknya ramah promo ga terutama untuk goride -dips! 😔,2022-11-09T06:58:36Z,undipmenfess,0.21879459440802887,0.557046452700454,0.22415895289151708,neutral
Kok goride ama gosend mahal sih 😢,2022-11-09T09:41:06Z,aur0rain,0.24350833991701681,0.21972930096481855,0.5367623591181645,negative
@poscsif kak mau goride,2022-11-09T18:31:31Z,emanggitusayang,0.2239638785309728,0.2584786700540032,0.517557451415024,negative
@hitiwii_ @discountfess Vouchernya yg goride sma gocar itu kak? -s,2022-11-09T13:18:57Z,princesshau,0.2276660678979346,0.29472527557429695,0.4776086565277685,negative
"pacarku ngajak keluar jam segini buat check in, disuruh naik goride sendiri. terus aku bilang gamau, malah di putusin wkwk. 18!",2022-11-10T01:56:53Z,18fesss,0.2631514673614698,0.3107278207728783,0.4261207118656518,negative
@18fesss Gapapa putus aja. Udah sinting dia. Psk aja masih dijemput anjir bisa bisanya pacarnya disuruh goride. Minimal pesenin gocar kek babi bgt pacar u.,2022-11-10T05:07:08Z,namapacarmu,0.22406332596568548,0.5227609587898315,0.25317571524448307,neutral
"@molojpg Hai Kak, mengenai GoRide Hemat, hanya berlaku di Makassar, Medan dan Malang ya. Info detailnya kamu bisa cek https://t.co/8VSQS4NkpE ya. Tks^ast",2022-11-09T14:03:52Z,gojekindonesia,0.2395180116785138,0.3261580514980017,0.43432393682348447,negative
"We Got You, Bang Dustin! Naik GoRide lagi, yuk 😁 https://t.co/zBFyFhGioS",2022-11-01T14:21:28Z,gojekindonesia,0.261797880975181,0.2741292692734783,0.4640728497513407,negative
"@CintaItilItil Halloww Kakak, pendaftaran mitra GoRide Jabodetabek masih ditutup sampai saat ini 🙏 Ditunggu lagi aja ya Kak karena proses rekrutmen disesuaikan dgn kebutuhan di masing2 wilayah dan dapat dibuka/ditutup kapan saja tanpa ada pemberitahuan terlebih dahulu 💚😊 Trims^tri",2022-11-02T08:09:17Z,gojekindonesia,0.21446608053143762,0.21664745914149477,0.5688864603270676,negative
"@dappreee Hai Kak, maaf ya bikin kamu gak nyaman. Mengenai tarif yang berlaku pada layanan GoRide kamu saat ini, ada tarif 'Harga Ramai' ya. Terima kasih^yni 😊",2022-11-02T18:45:46Z,gojekindonesia,0.4352271418068524,0.2543425307155287,0.31043032747761895,positive
"halo @gojekindonesia apakah akun saya kena soft banned? karena sudah lama tidak ada voucher goride/gocar/gofood, kode promo yg diklaim jg tidak muncul di aplikasi. tolong bantuannya agar bisa nyaman menggunakan gojek kembali. terimakasih",2022-11-09T18:04:23Z,afckado,0.23228917676818267,0.21768600448476141,0.5500248187470558,negative
Kak ada promo buat goride gak? @gojekindonesia kode gojekinaja tulisannya habis tadi masukin.,2022-11-10T06:24:54Z,Namakugaada,0.3675526969689209,0.35545340224018135,0.2769939007908977,positive
"Halo @gojekindonesia apakah akun saya kena soft banned? 🥺 Saya sekarang sudah gak pernah dapet voucher gofood/goride/gocar, saya juga gak bisa claim kode promo. Mohon bantuannya, agar saya bisa nyaman menggunakan gojek kembali. Terima kasih 🙏🏻",2022-11-09T23:19:56Z,Sekar27OsJh,0.5265213458420839,0.2220822609019573,0.2513963932559588,positive
"/info Kode promo goride untuk dom tertentu tiap selasa &amp; rabu! 
GOJEKINAJA untuk all dom
GOJEKLAH untuk pekanbaru
GOJEKSELAH untuk Padang
GOJEKGEH buat dom lampung
GOJEKINPURWOKERTO / GOJEKWIRA utk purwokerto https://t.co/u1Cyzdvg6g",2022-11-09T08:33:47Z,berburusales,0.2186361696632183,0.5662980237833007,0.2150658065534809,neutral
"yang lagi nyari diskon goride/gocar, langganan dulu 2ribu /info https://t.co/JZVktVQO3X",2022-11-01T10:16:14Z,berburusales,0.29813846087571094,0.23242368897485718,0.46943785014943196,negative
"hai @gojekindonesia setelah seminggu, ada cashback yang berhasil saya terima dan ada juga yang tidak. dan jika mau diamati, semua cashbacknya tidak saya terima pada fitur gocar, sementara dari fitur goride ada beberapa cashback yang masuk, ya... hanya beberapa🙂 mohon solusinya🙏",2022-11-09T21:25:20Z,Yoshioka20_,0.21689605452783886,0.22850678118155351,0.5545971642906076,negative
"@carnilazmiana @gojekindonesia Anjir ko bisa goride cashbacknya 11k, gue cuma dpt 6k",2022-11-09T09:53:46Z,mhmmdqois,0.31062160519844645,0.43302686833450277,0.25635152646705084,neutral
"halo @gojekindonesia, mau nanyaa. ini akun gojek ku kena softbanned atau gimana ya? soalnya ga pernah dapet voucher gofood, goride, sama gocar. trs juga kalo masukin kode voucher promo gitu gabisa. tolong bantuannya ya, terima kasih.",2022-11-09T10:13:45Z,avocraido,0.2564023453081779,0.26829531666808665,0.47530233802373534,negative
@glaceris Kak yg goride masih ada gaa?,2022-11-09T11:45:03Z,abcd_eaJ,0.2631436140703931,0.37156992380150317,0.36528646212810384,neutral
"halo @gojekindonesia apakah akun saya kena soft banned? karena sudah lama tidak ada voucher goride/gocar/gofood, kode promo yg diklaim jg tidak muncul di aplikasi. tolong bantuannya agar bisa nyaman menggunakan gojek kembali. terimakasih",2022-11-09T12:25:40Z,charolin_s,0.23228917676818267,0.21768600448476141,0.5500248187470558,negative
Hampir banget bilang “lewat tol aja mas” ke mas goride,2022-11-10T00:28:30Z,sheeeshasfuck,0.4319179620570361,0.23176200005591344,0.3363200378870505,positive
"semua goride sold ya, sisa gocar🤗

⚠️NO KEEP

#mknvoc https://t.co/JjursqVYO6",2022-11-04T16:38:15Z,marikitanugas,0.23731322099795812,0.2459899941466941,0.5166967848553478,negative
"Halo @gojekindonesia apakah akun saya kena soft banned? karena saya udah gak dapet voucher goride/gocar/gofood, saya juga gak bisa claim kode promo. Tolong bantuannya ya agar bisa nyaman menggunakan gojek kembali, terima kasih banyak sebelumnya 🥺🙏🏻",2022-11-09T13:12:01Z,kilaayeay,0.5022131854237146,0.22640414720496857,0.27138266737131683,positive
mmps gw gaada yg pick goride gw 😟,2022-11-09T18:56:51Z,Briaannc1,0.29857340187962317,0.3543051822647386,0.3471214158556381,neutral
agak kaget dan mau nangis ngeliat history gojek selama hampir setahun ini (dari januari-nov skrg)🥲ternyata aku spending sebanyak itu cuma buat goride sama gofood...,2022-11-09T11:47:29Z,kottongum,0.22146728044209743,0.21958843568439593,0.5589442838735066,negative
@convomfs Gojek emg rada aneh. Pernah order goride gk muncul2 trus order lg baru double order,2022-11-09T12:22:13Z,kaki_kambing,0.29857340187962317,0.3543051822647386,0.3471214158556381,neutral
Baru kali ini pesen GoRide dapat Aerox. Beuhhhhhhh…susah naiknya. Ngalah-ngalahin CBR. 😓😭,2022-11-09T14:20:48Z,ness_dian,0.23365255123035775,0.2569996347796664,0.5093478139899759,negative
Si bodoh bukannya mesen goride malah mesen gocar🥲,2022-11-09T14:55:09Z,bbystarcndykoo,0.29857340187962317,0.3543051822647386,0.3471214158556381,neutral
suka banget naik goride helmnya wangi kayae abis di laundry T_____T,2022-11-09T11:07:56Z,yoitcj,0.5700501596247126,0.2132964402327704,0.21665340014251694,positive
"halo @gojekindonesia mau tanya, apakah akun gojek ku terkena softbanned atau bagaimana ya? soalnya aku udah ga pernah dapat voucher goride, gocar, gofood lagi dan jika memasukan kode voucher promo itu tidak bisa digunakan. Tolong dibantu, terima kasih.",2022-11-09T05:14:17Z,xxwynrvll,0.27959379011073165,0.25731150286093696,0.46309470702833144,negative
@rosellathings_ Kalo misal ga langsung 20k bisa gasih? Kaya bisal 10k goride(?) Terus 10k pulsa gtu?,2022-11-09T14:48:21Z,99minakang,0.31062160519844645,0.43302686833450277,0.25635152646705084,neutral
gojek mahal bgt orgil masa goride ke rumah 26.500???? biasanya gasampe 18rb,2022-11-08T19:59:08Z,makantaican,0.2173053255019317,0.233748208690313,0.5489464658077553,negative
"-rek gop4y coins itu bisa dipake buat apa aja yaa? cuma goride aja kh?

ngumpulin goco banyak eh taunya cuma bisa dipake sampe akhir tahun ini

no salty yaa, aku baru belajar🙏",2022-11-04T15:13:25Z,sbyfess,0.31662523113873,0.23776680051426557,0.44560796834700445,negative
-rek ada yg punya voucher goride ngga dipake ta? Aku mau poo:( makasii:(,2022-11-08T14:05:01Z,sbyfess,0.23481370420623573,0.39498995046330965,0.3701963453304546,neutral
"dadah, goride dinyatakan close saja, due hp yg buat pesen udah gak sama aku.",2022-11-08T20:19:10Z,termahaI,0.23854169956379118,0.21886196793096077,0.542596332505248,negative
@berburusales butuh goride,2022-11-08T12:41:20Z,termahaI,0.29857340187962317,0.3543051822647386,0.3471214158556381,neutral
"halo @gojekindonesia apakah akun saya kena soft banned? karena sudah lama tidak ada voucher goride/gocar/gofood, kode promo yg diklaim jg tidak muncul di aplikasi. tolong bantuannya agar bisa nyaman menggunakan gojek kembali. terimakasih",2022-11-08T15:46:06Z,Nvrddl03,0.23228917676818267,0.21768600448476141,0.5500248187470558,negative
